REGION/PROVINCE/CITY,Cases 2018,Deaths 2018,%CFR 2018,Cases 2019,Deaths 2019,%CFR 2019,increase perc
BASILAN,79,0,0,5,0,0,94
LANAO DEL SUR,242,1,0,132,0,0,45
MAGUINDANAO,409,3,1,99,3,3,76
SULU,111,1,1,1,0,0,99
TAWI-TAWI,10,0,0,0,0,0,100
CAR,10,0,0,130,0,0,1200
ABRA,1,0,0,2,0,0,100
APAYAO,2,0,0,6,0,0,200
BENGUET,3,0,0,35,0,0,1067
BAGUIO CITY,0,0,0,78,0,0,
IFUGAO,3,0,0,4,0,0,33
KALINGA,0,0,0,2,0,0,
MOUNTAIN PROVINCE,1,0,0,3,0,0,200
CARAGA,18,1,6,164,0,0,811
AGUSAN DEL NORTE,1,0,0,12,0,0,1100
AGUSAN DEL SUR,6,1,17,36,0,0,500
DINAGAT ISLANDS,0,0,0,7,0,0,
SURIGAO DEL NORTE,2,0,0,82,0,0,4000
SURIGAO DEL SUR,9,0,0,27,0,0,200
NCR,95,2,2,1841,32,2,1838
CALOOCAN CITY,9,0,0,191,5,3,2022
LAS PIÑAS CITY,0,0,0,55,3,5,
MAKATI CITY,4,0,0,21,0,0,425
MALABON CITY,0,0,0,57,3,5,
MANDALUYONG CITY,0,0,0,28,0,0,
MANILA,42,1,2,352,2,1,738
MARIKINA CITY,0,0,0,100,3,3,
MUNTINLUPA CITY,1,0,0,54,0,0,5300
NAVOTAS,0,0,0,74,1,1,
PARAÑAQUE CITY,7,0,0,96,2,2,1271
PASAY CITY,4,0,0,87,0,0,2075
PASIG CITY,5,0,0,76,5,7,1420
PATEROS,0,0,0,3,0,0,
QUEZON CITY,1,0,0,493,6,1,49200
SAN JUAN,0,0,0,15,0,0,
TAGUIG CITY,20,1,5,71,1,1,255
VALENZUELA CITY,1,0,0,68,1,1,6700
NO DATA ON MUNCITY,1,0,0,0,0,0,100
