,L2_code,L2_name,L1_code,L1_name,L3_code,L3_name
332,AFRMWI304,Chiradzulu,AFRMWI3,Southern,AFRMWI30404,TA Nkalo
333,AFRMWI304,Chiradzulu,AFRMWI3,Southern,AFRMWI30405,TA Chitera
334,AFRMWI304,Chiradzulu,AFRMWI3,Southern,AFRMWI30406,TA Nchema
335,AFRMWI304,Chiradzulu,AFRMWI3,Southern,AFRMWI30420,Chiradzulu Boma
336,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31001,TA Ngabu
337,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31002,TA Lundu
338,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31003,TA Chapananga
339,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31004,TA Maseya
340,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31005,TA Katunga
341,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31006,TA Kasisi
342,AFRMWI310,Chikhwawa,AFRMWI3,Southern,AFRMWI31007,TA Makhwira
343,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31540,Chilomoni Ward
344,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31541,Blantyre West Ward
345,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31544,Chichiri Ward
346,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31542,Blantyre Central Ward
347,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31543,Blantyre East Ward
348,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31545,Mzedi Ward
349,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31546,Bangwe Ward
350,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31547,Namiyango Ward
351,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31548,Limbe East Ward
352,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31549,Limbe Central Ward
353,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31550,Limbe west Ward
354,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31551,Soche East Ward
355,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31552,Soche West Ward
356,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31553,Nancholi Ward
357,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31554,Misesa
358,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31555,Chigumula Ward
359,AFRMWI315,Blantyre City,AFRMWI3,Southern,AFRMWI31556,Msamba Ward
360,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30501,Senior TA Kapeni
361,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30502,TA Lundu
362,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30503,TA Chigaru
363,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30504,TA Kunthembwe
364,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30505,TA Makata
365,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30506,TA Kuntaja
366,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30507,TA Machinjili
367,AFRMWI305,Blantyre,AFRMWI3,Southern,AFRMWI30508,TA Somba
