,Province,Municipality,TOTALLY,PARTIALLY,TOTAL,L1_name,L2_name,L1_best_match_name,L2_best_match_name,L1_code,L2_code
0,METRO MANILA,MANILA,47.00,15.00,62.00,METRO MANILA,MANILA,,,,
1,METRO MANILA,PATEROS,,80.00,80.00,METRO MANILA,PATEROS,"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PATEROS,PH137600000,PH137606000
2,ILOCOS NORTE,BATAC CITY,3.00,2.00,5.00,ILOCOS NORTE,BATAC CITY,ILOCOS NORTE,CITY OF BATAC,PH012800000,PH012805000
3,BATAAN,ABUCAY,36.00,55.00,91.00,BATAAN,ABUCAY,,,PH030800000,PH030801000
4,BATAAN,BAGAC,1.00,50.00,51.00,BATAAN,BAGAC,,,PH030800000,PH030802000
5,BATAAN,BALANGA,32.00,459.00,491.00,BATAAN,BALANGA,BATAAN,CITY OF BALANGA (CAPITAL),PH030800000,PH030803000
6,BATAAN,HERMOSA,13.00,253.00,266.00,BATAAN,HERMOSA,,,PH030800000,PH030805000
7,BATAAN,MARIVELES,0.00,2.00,2.00,BATAAN,MARIVELES,,,PH030800000,PH030807000
8,BATAAN,MORONG,0.00,61.00,61.00,BATAAN,MORONG,,,PH030800000,PH030808000
9,BATAAN,ORANI,0.00,383.00,383.00,BATAAN,ORANI,,,PH030800000,PH030809000
10,BATAAN,ORION,345.00,"1,009.00","1,354.00",BATAAN,ORION,,,PH030800000,PH030810000
11,BATAAN,PILAR,76.00,234.00,310.00,BATAAN,PILAR,,,PH030800000,PH030811000
12,BATAAN,SAMAL,10.00,730.00,740.00,BATAAN,SAMAL,,,PH030800000,PH030812000
13,BULACAN,BOCAUE,3.00,2.00,5.00,BULACAN,BOCAUE,,,PH031400000,PH031404000
14,BULACAN,CITY OF MALOLOS,5.00,2.00,7.00,BULACAN,CITY OF MALOLOS,BULACAN,CITY OF MALOLOS (CAPITAL),PH031400000,PH031410000
15,BULACAN,HAGONOY,33.00,123.00,156.00,BULACAN,HAGONOY,,,PH031400000,PH031409000
16,BULACAN,PAOMBONG,,53.00,53.00,BULACAN,PAOMBONG,,,PH031400000,PH031416000
17,PAMPANGA,FLORIDABLANCA,4.00,36.00,40.00,PAMPANGA,FLORIDABLANCA,,,PH035400000,PH035406000
18,PAMPANGA,MEXICO,1.00,3.00,4.00,PAMPANGA,MEXICO,,,PH035400000,PH035413000
19,PAMPANGA,MINALIN,2.00,11.00,13.00,PAMPANGA,MINALIN,,,PH035400000,PH035414000
20,TARLAC,BAMBAN,1.00,0.00,1.00,TARLAC,BAMBAN,,,PH036900000,PH036902000
21,ZAMBALES,BOTOLAN,53.00,349.00,402.00,ZAMBALES,BOTOLAN,,,PH037100000,PH037101000
22,ZAMBALES,CABANGAN,11.00,76.00,87.00,ZAMBALES,CABANGAN,,,PH037100000,PH037102000
23,ZAMBALES,CANDELARIA,0.00,13.00,13.00,ZAMBALES,CANDELARIA,,,PH037100000,PH037103000
24,ZAMBALES,CASTILLEJOS,0.00,39.00,39.00,ZAMBALES,CASTILLEJOS,,,PH037100000,PH037104000
25,ZAMBALES,IBA,14.00,25.00,39.00,ZAMBALES,IBA,ZAMBALES,IBA (CAPITAL),PH037100000,PH037105000
26,ZAMBALES,MASINLOC,0.00,10.00,10.00,ZAMBALES,MASINLOC,,,PH037100000,PH037106000
27,ZAMBALES,PALAUIG,5.00,59.00,64.00,ZAMBALES,PALAUIG,,,PH037100000,PH037108000
