,Province,Municipality,TOTALLY,PARTIALLY,TOTAL,L1_name,L2_name,L1_best_match_name,L2_best_match_name,L1_code,L2_code
28,ZAMBALES,SAN FELIPE,4.00,44.00,48.00,ZAMBALES,SAN FELIPE,,,PH037100000,PH037110000
29,ZAMBALES,SAN MARCELINO,8.00,128.00,136.00,ZAMBALES,SAN MARCELINO,,,PH037100000,PH037111000
30,ZAMBALES,SAN NARCISO,7.00,42.00,49.00,ZAMBALES,SAN NARCISO,,,PH037100000,PH037112000
31,ZAMBALES,STA CRUZ,5.00,32.00,37.00,ZAMBALES,STA CRUZ,,,,
32,ZAMBALES,SUBIC,73.00,88.00,161.00,ZAMBALES,SUBIC,,,PH037100000,PH037114000
33,BATANGAS,AGONCILLO,140.00,"1,535.00","1,675.00",BATANGAS,AGONCILLO,,,PH041000000,PH041001000
34,BATANGAS,ALITAGTAG,86.00,"1,201.00","1,287.00",BATANGAS,ALITAGTAG,,,PH041000000,PH041002000
35,BATANGAS,BALETE ,175.00,"2,081.00","2,256.00",BATANGAS,BALETE ,BATANGAS,BALETE,PH041000000,PH041004000
36,BATANGAS,BATANGAS CITY,121.00,420.00,541.00,BATANGAS,BATANGAS CITY,BATANGAS,BATANGAS CITY (CAPITAL),PH041000000,PH041005000
37,BATANGAS,CALACA,189.00,"3,231.00","3,420.00",BATANGAS,CALACA,,,PH041000000,PH041007000
38,BATANGAS,CALATAGAN,92.00,"1,150.00","1,242.00",BATANGAS,CALATAGAN,,,PH041000000,PH041008000
39,BATANGAS,CUENCA,13.00,"2,289.00","2,302.00",BATANGAS,CUENCA,,,PH041000000,PH041009000
40,BATANGAS,IBAAN,177.00,"1,355.00","1,532.00",BATANGAS,IBAAN,,,PH041000000,PH041010000
41,BATANGAS,LEMERY,0.00,73.00,73.00,BATANGAS,LEMERY,,,PH041000000,PH041012000
42,BATANGAS,LIAN,239.00,"3,050.00","3,289.00",BATANGAS,LIAN,,,PH041000000,PH041013000
43,BATANGAS,LIPA CITY,505.00,"17,635.00","18,140.00",BATANGAS,LIPA CITY,,,PH041000000,PH041014000
44,BATANGAS,MABINI,11.00,58.00,69.00,BATANGAS,MABINI,,,PH041000000,PH041016000
45,BATANGAS,MALVAR ,861.00,"2,201.00","3,062.00",BATANGAS,MALVAR ,BATANGAS,MALVAR,PH041000000,PH041017000
46,BATANGAS,MATAAS NA KAHOY,103.00,"1,707.00","1,810.00",BATANGAS,MATAAS NA KAHOY,BATANGAS,MATAASNAKAHOY,PH041000000,PH041018000
47,BATANGAS,NASUGBU,727.00,"7,736.00","8,463.00",BATANGAS,NASUGBU,,,PH041000000,PH041019000
48,BATANGAS,ROSARIO,480.00,"5,946.00","6,426.00",BATANGAS,ROSARIO,,,PH041000000,PH041021000
49,BATANGAS,SAN JOSE,100.00,"2,423.00","2,523.00",BATANGAS,SAN JOSE,,,PH041000000,PH041022000
50,BATANGAS,SAN JUAN,639.00,"8,201.00","8,840.00",BATANGAS,SAN JUAN,,,PH041000000,PH041023000
51,BATANGAS,SAN NICOLAS,170.00,"1,398.00","1,568.00",BATANGAS,SAN NICOLAS,,,PH041000000,PH041025000
52,BATANGAS,STA. TERESITA,27.00,970.00,997.00,BATANGAS,STA. TERESITA,,,,
53,BATANGAS,TAAL,197.00,"1,414.00","1,611.00",BATANGAS,TAAL,,,PH041000000,PH041029000
54,BATANGAS,TAYSAN,110.00,739.00,849.00,BATANGAS,TAYSAN,,,PH041000000,PH041032000
55,BATANGAS,TINGLOY,39.00,256.00,295.00,BATANGAS,TINGLOY,,,PH041000000,PH041033000
56,BATANGAS,TUY,26.00,380.00,406.00,BATANGAS,TUY,,,PH041000000,PH041034000
57,LAGUNA,ALAMINOS,120.00,80.00,200.00,LAGUNA,ALAMINOS,,,PH043400000,PH043401000
58,LAGUNA,BAY,"1,667.00",0.00,"1,667.00",LAGUNA,BAY,,,PH043400000,PH043402000
59,LAGUNA,BIñAN,468.00,"1,908.00","2,376.00",LAGUNA,BIñAN,,,,
60,LAGUNA,CALAMBA CITY,567.00,"2,492.00","3,059.00",LAGUNA,CALAMBA CITY,LAGUNA,CITY OF CALAMBA,PH043400000,PH043405000
61,LAGUNA,CALAUAN,369.00,"3,040.00","3,409.00",LAGUNA,CALAUAN,,,PH043400000,PH043406000
62,LAGUNA,CAVINTI,125.00,"1,480.00","1,605.00",LAGUNA,CAVINTI,,,PH043400000,PH043407000
63,LAGUNA,FAMY,17.00,423.00,440.00,LAGUNA,FAMY,,,PH043400000,PH043408000
64,LAGUNA,LILIW,158.00,939.00,"1,097.00",LAGUNA,LILIW,,,PH043400000,PH043410000
65,LAGUNA,LOS BAñOS,767.00,"4,371.00","5,138.00",LAGUNA,LOS BAñOS,,,,
66,LAGUNA,LUISIANA,351.00,"1,876.00","2,227.00",LAGUNA,LUISIANA,,,PH043400000,PH043412000
67,LAGUNA,MABITAC,16.00,162.00,178.00,LAGUNA,MABITAC,,,PH043400000,PH043414000
68,LAGUNA,MAGDALENA,315.00,"1,510.00","1,825.00",LAGUNA,MAGDALENA,,,PH043400000,PH043415000
69,LAGUNA,MAJAYJAY,371.00,"1,358.00","1,729.00",LAGUNA,MAJAYJAY,,,PH043400000,PH043416000
70,LAGUNA,NAGCARLAN,440.00,522.00,962.00,LAGUNA,NAGCARLAN,,,PH043400000,PH043417000
71,LAGUNA,PAETE,13.00,313.00,326.00,LAGUNA,PAETE,,,PH043400000,PH043418000
72,LAGUNA,PAKIL,225.00,"1,054.00","1,279.00",LAGUNA,PAKIL,,,PH043400000,PH043420000
73,LAGUNA,PAGSANJAN,265.00,"1,671.00","1,936.00",LAGUNA,PAGSANJAN,,,PH043400000,PH043419000
74,LAGUNA,PILA,40.00,62.00,102.00,LAGUNA,PILA,,,PH043400000,PH043422000
75,LAGUNA,RIZAL,440.00,"2,270.00","2,710.00",LAGUNA,RIZAL,,,PH043400000,PH043423000
76,LAGUNA,SAN PABLO,"4,758.00","15,131.00","19,889.00",LAGUNA,SAN PABLO,LAGUNA,SAN PABLO CITY,PH043400000,PH043424000
77,LAGUNA,SAN PEDRO,82.00,507.00,589.00,LAGUNA,SAN PEDRO,LAGUNA,CITY OF SAN PEDRO,PH043400000,PH043425000
78,LAGUNA,SINILOAN,200.00,150.00,350.00,LAGUNA,SINILOAN,,,PH043400000,PH043429000
79,LAGUNA,STA. CRUZ,684.00,"4,578.00","5,262.00",LAGUNA,STA. CRUZ,,,,
80,LAGUNA,STA. MARIA,36.00,259.00,295.00,LAGUNA,STA. MARIA,,,,
81,LAGUNA,STA. ROSA,"1,023.00","2,927.00","3,950.00",LAGUNA,STA. ROSA,,,,
82,LAGUNA,VICTORIA,75.00,385.00,460.00,LAGUNA,VICTORIA,,,PH043400000,PH043430000
83,CAVITE,ALFONSO,153.00,682.00,835.00,CAVITE,ALFONSO,,,PH042100000,PH042101000
84,CAVITE,BACOOR CITY,586.00,"9,188.00","9,774.00",CAVITE,BACOOR CITY,,,PH042100000,PH042103000
85,CAVITE,CARMONA,74.00,792.00,866.00,CAVITE,CARMONA,,,PH042100000,PH042104000
86,CAVITE,CAVITE CITY,583.00,"4,753.00","5,336.00",CAVITE,CAVITE CITY,,,PH042100000,PH042105000
87,CAVITE,DASMARIñAS,65.00,"1,552.00","1,617.00",CAVITE,DASMARIñAS,,,,
88,CAVITE,G.M.A.,74.00,765.00,839.00,CAVITE,G.M.A.,,,,
89,CAVITE,GENERAL TRIAS,137.00,950.00,"1,087.00",CAVITE,GENERAL TRIAS,CAVITE,CITY OF GENERAL TRIAS,PH042100000,PH042108000
90,CAVITE,INDANG,"1,260.00","2,917.00","4,177.00",CAVITE,INDANG,,,PH042100000,PH042110000
91,CAVITE,KAWIT,40.00,"1,870.00","1,910.00",CAVITE,KAWIT,,,PH042100000,PH042111000
92,CAVITE,MARAGONDON,10.00,453.00,463.00,CAVITE,MARAGONDON,,,PH042100000,PH042113000
93,CAVITE,NAIC,20.00,884.00,904.00,CAVITE,NAIC,,,PH042100000,PH042115000
94,CAVITE,NOVELETA,35.00,547.00,582.00,CAVITE,NOVELETA,,,PH042100000,PH042116000
95,CAVITE,ROSARIO,74.00,0.00,74.00,CAVITE,ROSARIO,,,PH042100000,PH042117000
96,CAVITE,SILANG,134.00,718.00,852.00,CAVITE,SILANG,,,PH042100000,PH042118000
97,CAVITE,TAGAYTAY,272.00,"4,398.00","4,670.00",CAVITE,TAGAYTAY,CAVITE,TAGAYTAY CITY,PH042100000,PH042119000
98,CAVITE,TANZA,114.00,"2,816.00","2,930.00",CAVITE,TANZA,,,PH042100000,PH042120000
99,CAVITE,TERNATE,"2,226.00",644.00,"2,870.00",CAVITE,TERNATE,,,PH042100000,PH042121000
100,CAVITE,TRECE MARTIRES,293.00,"2,192.00","2,485.00",CAVITE,TRECE MARTIRES,CAVITE,TRECE MARTIRES CITY (CAPITAL),PH042100000,PH042122000
101,RIZAL,ANTIPOLO CITY,140.00,"1,316.00","1,456.00",RIZAL,ANTIPOLO CITY,RIZAL,CITY OF ANTIPOLO,PH045800000,PH045802000
102,RIZAL,"INARAWAN, ANTIPOLO",63.00,734.00,797.00,RIZAL,"INARAWAN, ANTIPOLO",,,,
103,RIZAL,BARAS,10.00,15.00,25.00,RIZAL,BARAS,,,PH045800000,PH045803000
104,RIZAL,BINANGONAN,245.00,"1,022.00","1,267.00",RIZAL,BINANGONAN,,,PH045800000,PH045804000
105,RIZAL,CARDONA,,9.00,9.00,RIZAL,CARDONA,,,PH045800000,PH045806000
106,RIZAL,PILILIA,70.00,352.00,422.00,RIZAL,PILILIA,,,,
107,RIZAL,RODRIGUEZ,29.00,11.00,40.00,RIZAL,RODRIGUEZ,RIZAL,RODRIGUEZ (MONTALBAN),PH045800000,PH045808000
108,RIZAL,SAN MATEO,23.00,23.00,46.00,RIZAL,SAN MATEO,,,PH045800000,PH045811000
109,RIZAL,TANAY,24.00,13.00,37.00,RIZAL,TANAY,,,PH045800000,PH045812000
110,RIZAL,TAYTAY,3.00,26.00,29.00,RIZAL,TAYTAY,,,PH045800000,PH045813000
111,RIZAL,TERESA,2.00,5.00,7.00,RIZAL,TERESA,,,PH045800000,PH045814000
112,QUEZON,AGDANGAN,"1,322.00","1,296.00","2,618.00",QUEZON,AGDANGAN,,,PH045600000,PH045601000
113,QUEZON,ALABAT,142.00,"1,783.00","1,925.00",QUEZON,ALABAT,,,PH045600000,PH045602000
114,QUEZON,ATIMONAN,"1,388.00","4,504.00","5,892.00",QUEZON,ATIMONAN,,,PH045600000,PH045603000
115,QUEZON,BUENAVISTA,657.00,"2,751.00","3,408.00",QUEZON,BUENAVISTA,,,PH045600000,PH045605000
116,QUEZON,CALAUAG,"1,249.00","5,814.00","7,063.00",QUEZON,CALAUAG,,,PH045600000,PH045607000
117,QUEZON,CANDELARIA,563.00,"8,190.00","8,753.00",QUEZON,CANDELARIA,,,PH045600000,PH045608000
118,QUEZON,CATANAUAN,"1,687.00","3,500.00","5,187.00",QUEZON,CATANAUAN,,,PH045600000,PH045610000
119,QUEZON,DOLORES,591.00,"3,374.00","3,965.00",QUEZON,DOLORES,,,PH045600000,PH045615000
120,QUEZON,GENERAL LUNA,500.00,700.00,"1,200.00",QUEZON,GENERAL LUNA,,,PH045600000,PH045616000
121,QUEZON,GUINAYANGAN,"1,083.00","4,052.00","5,135.00",QUEZON,GUINAYANGAN,,,PH045600000,PH045618000
122,QUEZON,GUMACA,"1,388.00","2,328.00","3,716.00",QUEZON,GUMACA,,,PH045600000,PH045619000
123,QUEZON,INFANTA,1.00,88.00,89.00,QUEZON,INFANTA,,,PH045600000,PH045620000
124,QUEZON,LOPEZ,"2,866.00","9,413.00","12,279.00",QUEZON,LOPEZ,,,PH045600000,PH045622000
125,QUEZON,LUCENA CITY,"3,087.00","10,598.00","13,685.00",QUEZON,LUCENA CITY,QUEZON,LUCENA CITY (CAPITAL),PH045600000,PH045624000
126,QUEZON,MACALELON,733.00,"2,042.00","2,775.00",QUEZON,MACALELON,,,PH045600000,PH045625000
127,QUEZON,MALUNAY,56.00,145.00,201.00,QUEZON,MALUNAY,,,,
128,QUEZON,MAUBAN,935.00,"6,388.00","7,323.00",QUEZON,MAUBAN,,,PH045600000,PH045627000
129,QUEZON,PAGBILAO,213.00,"4,735.00","4,948.00",QUEZON,PAGBILAO,,,PH045600000,PH045630000
130,QUEZON,PEREZ,172.00,883.00,"1,055.00",QUEZON,PEREZ,,,PH045600000,PH045633000
131,QUEZON,PITOGO,"1,254.00","3,669.00","4,923.00",QUEZON,PITOGO,,,PH045600000,PH045634000
132,QUEZON,PLARIDEL,308.00,943.00,"1,251.00",QUEZON,PLARIDEL,,,PH045600000,PH045635000
133,QUEZON,QUEZON,189.00,"1,960.00","2,149.00",QUEZON,QUEZON,,,PH045600000,PH045637000
134,QUEZON,REAL ,61.00,"1,478.00","1,539.00",QUEZON,REAL ,QUEZON,REAL,PH045600000,PH045638000
135,QUEZON,SAMPALOC,59.00,892.00,951.00,QUEZON,SAMPALOC,,,PH045600000,PH045639000
136,QUEZON,SAN ANDRES,82.00,"2,047.00","2,129.00",QUEZON,SAN ANDRES,,,PH045600000,PH045640000
137,QUEZON,SAN ANTONIO,631.00,"2,427.00","3,058.00",QUEZON,SAN ANTONIO,,,PH045600000,PH045641000
138,QUEZON,SAN FRANCISCO,47.00,264.00,311.00,QUEZON,SAN FRANCISCO,QUEZON,SAN FRANCISCO (AURORA),PH045600000,PH045642000
139,QUEZON,SARIAYA,"8,564.00","1,805.00","10,369.00",QUEZON,SARIAYA,,,PH045600000,PH045645000
140,QUEZON,TAGKAWAYAN ,781.00,"4,346.00","5,127.00",QUEZON,TAGKAWAYAN ,QUEZON,TAGKAWAYAN,PH045600000,PH045646000
141,QUEZON,TAYABAS CITY ,934.00,"3,959.00","4,893.00",QUEZON,TAYABAS CITY ,QUEZON,CITY OF TAYABAS,PH045600000,PH045647000
142,QUEZON,TIAONG ,"1,781.00","10,765.00","12,546.00",QUEZON,TIAONG ,QUEZON,TIAONG,PH045600000,PH045648000
143,QUEZON,UNISAN,"1,378.00","2,818.00","4,196.00",QUEZON,UNISAN,,,PH045600000,PH045649000
144,MARINDUQUE,STA. CRUZ,1.00,12.00,13.00,MARINDUQUE,STA. CRUZ,,,,
145,MARINDUQUE,MOGPOG,3.00,25.00,28.00,MARINDUQUE,MOGPOG,,,PH174000000,PH174004000
146,MARINDUQUE,BOAC,18.00,440.00,458.00,MARINDUQUE,BOAC,MARINDUQUE,BOAC (CAPITAL),PH174000000,PH174001000
147,MARINDUQUE,GASAN,9.00,289.00,298.00,MARINDUQUE,GASAN,,,PH174000000,PH174003000
148,MARINDUQUE,BUENAVISTA,8.00,265.00,273.00,MARINDUQUE,BUENAVISTA,,,PH174000000,PH174002000
149,OCCIDENTAL MINDORO,ABRA DE ILOG,6.00,134.00,140.00,OCCIDENTAL MINDORO,ABRA DE ILOG,,,PH175100000,PH175101000
150,OCCIDENTAL MINDORO,CALINTAAN,7.00,"2,120.00","2,127.00",OCCIDENTAL MINDORO,CALINTAAN,,,PH175100000,PH175102000
151,OCCIDENTAL MINDORO,LOOC,3.00,10.00,13.00,OCCIDENTAL MINDORO,LOOC,,,PH175100000,PH175103000
152,OCCIDENTAL MINDORO,LUBANG,4.00,15.00,19.00,OCCIDENTAL MINDORO,LUBANG,,,PH175100000,PH175104000
153,OCCIDENTAL MINDORO,MAGSAYSAY,3.00,82.00,85.00,OCCIDENTAL MINDORO,MAGSAYSAY,,,PH175100000,PH175105000
154,OCCIDENTAL MINDORO,MAMBURAO,2.00,67.00,69.00,OCCIDENTAL MINDORO,MAMBURAO,OCCIDENTAL MINDORO,MAMBURAO (CAPITAL),PH175100000,PH175106000
155,OCCIDENTAL MINDORO,PALAUAN,1.00,5.00,6.00,OCCIDENTAL MINDORO,PALAUAN,OCCIDENTAL MINDORO,PALUAN,PH175100000,PH175107000
156,OCCIDENTAL MINDORO,RIZAL,6.00,136.00,142.00,OCCIDENTAL MINDORO,RIZAL,,,PH175100000,PH175108000
157,OCCIDENTAL MINDORO,SABLAYAN,3.00,394.00,397.00,OCCIDENTAL MINDORO,SABLAYAN,,,PH175100000,PH175109000
158,OCCIDENTAL MINDORO,SAN JOSE,18.00,"2,501.00","2,519.00",OCCIDENTAL MINDORO,SAN JOSE,,,PH175100000,PH175110000
159,OCCIDENTAL MINDORO,STA. CRUZ,3.00,19.00,22.00,OCCIDENTAL MINDORO,STA. CRUZ,,,,
160,ORIENTAL MINDORO,BACO,5.00,127.00,132.00,ORIENTAL MINDORO,BACO,,,PH175200000,PH175201000
161,ORIENTAL MINDORO,MANSALAY ,2.00,16.00,18.00,ORIENTAL MINDORO,MANSALAY ,ORIENTAL MINDORO,MANSALAY,PH175200000,PH175207000
162,ORIENTAL MINDORO,NAUJAN,7.00,159.00,166.00,ORIENTAL MINDORO,NAUJAN,,,PH175200000,PH175208000
163,ORIENTAL MINDORO,PUERTO GALERA,13.00,42.00,55.00,ORIENTAL MINDORO,PUERTO GALERA,,,PH175200000,PH175211000
164,ORIENTAL MINDORO,SAN TEODORO,3.00,43.00,46.00,ORIENTAL MINDORO,SAN TEODORO,,,PH175200000,PH175213000
165,ROMBLON,CAJIDIOCAN,1.00,1.00,2.00,ROMBLON,CAJIDIOCAN,,,PH175900000,PH175903000
166,ROMBLON,CALTRAVA ,2.00,23.00,25.00,ROMBLON,CALTRAVA ,ROMBLON,CALATRAVA,PH175900000,PH175904000
167,ROMBLON,FERROL,1.00,3.00,4.00,ROMBLON,FERROL,,,PH175900000,PH175916000
168,ROMBLON,LOOC ,1.00,1.00,2.00,ROMBLON,LOOC ,ROMBLON,LOOC,PH175900000,PH175907000
169,ROMBLON,MAGDIWANG,3.00,144.00,147.00,ROMBLON,MAGDIWANG,,,PH175900000,PH175908000
170,ROMBLON,ODIONGAN,1.00,1.00,2.00,ROMBLON,ODIONGAN,,,PH175900000,PH175909000
171,ROMBLON,SAN AGUSTIN ,4.00,17.00,21.00,ROMBLON,SAN AGUSTIN ,ROMBLON,SAN AGUSTIN,PH175900000,PH175911000
172,ROMBLON,STA. FE,2.00,6.00,8.00,ROMBLON,STA. FE,,,,
173,ROMBLON,STA. MARIA,1.00,12.00,13.00,ROMBLON,STA. MARIA,,,,
174,ALBAY,DARAGA,91.00,,91.00,ALBAY,DARAGA,ALBAY,DARAGA (LOCSIN),PH050500000,PH050503000
175,ALBAY,STO. DOMINGO,215.00,"1,649.00","1,864.00",ALBAY,STO. DOMINGO,,,,
176,ALBAY,GUINOBATAN,320.00,"2,086.00","2,406.00",ALBAY,GUINOBATAN,,,PH050500000,PH050504000
177,ALBAY,JOVELLAR ,200.00,365.00,565.00,ALBAY,JOVELLAR ,ALBAY,JOVELLAR,PH050500000,PH050505000
178,ALBAY,LEGASPI CITY,330.00,"1,372.00","1,702.00",ALBAY,LEGASPI CITY,,,,
179,ALBAY,LIBON,96.00,285.00,381.00,ALBAY,LIBON,,,PH050500000,PH050507000
180,ALBAY,LIGAO CITY,53.00,519.00,572.00,ALBAY,LIGAO CITY,ALBAY,CITY OF LIGAO,PH050500000,PH050508000
181,ALBAY,MALINAO,"1,722.00","6,318.00","8,040.00",ALBAY,MALINAO,,,PH050500000,PH050510000
182,ALBAY,MANITO,513.00,"2,299.00","2,812.00",ALBAY,MANITO,,,PH050500000,PH050511000
183,ALBAY,TIWI,"1,235.00","5,027.00","6,262.00",ALBAY,TIWI,,,PH050500000,PH050518000
184,CAMARINES SUR,BAAO,394.00,"1,807.00","2,201.00",CAMARINES SUR,BAAO,,,PH051700000,PH051701000
185,CAMARINES SUR,BALATAAN,250.00,"2,550.00","2,800.00",CAMARINES SUR,BALATAAN,CAMARINES SUR,BALATAN,PH051700000,PH051702000
186,CAMARINES SUR,BUHI,"1,193.00","6,528.00","7,721.00",CAMARINES SUR,BUHI,,,PH051700000,PH051705000
187,CAMARINES SUR,BULA,934.00,"4,842.00","5,776.00",CAMARINES SUR,BULA,,,PH051700000,PH051706000
188,CAMARINES SUR,CABUSAO,696.00,"2,152.00","2,848.00",CAMARINES SUR,CABUSAO,,,PH051700000,PH051707000
189,CAMARINES SUR,CALABANGA,"1,189.00","4,556.00","5,745.00",CAMARINES SUR,CALABANGA,,,PH051700000,PH051708000
190,CAMARINES SUR,CAMALIGAN,227.00,"1,679.00","1,906.00",CAMARINES SUR,CAMALIGAN,,,PH051700000,PH051709000
191,CAMARINES SUR,CANAMAN,"1,036.00","3,062.00","4,098.00",CAMARINES SUR,CANAMAN,,,PH051700000,PH051710000
192,CAMARINES SUR,DEL GALLEGO,295.00,"2,602.00","2,897.00",CAMARINES SUR,DEL GALLEGO,,,PH051700000,PH051712000
193,CAMARINES SUR,GAINZA,382.00,"1,494.00","1,876.00",CAMARINES SUR,GAINZA,,,PH051700000,PH051713000
194,CAMARINES SUR,GARCHITORRENA ,20.00,3.00,23.00,CAMARINES SUR,GARCHITORRENA ,CAMARINES SUR,GARCHITORENA,PH051700000,PH051714000
195,CAMARINES SUR,GOA,378.00,"2,186.00","2,564.00",CAMARINES SUR,GOA,,,PH051700000,PH051715000
196,CAMARINES SUR,IRIGA CITY,780.00,"4,118.00","4,898.00",CAMARINES SUR,IRIGA CITY,,,PH051700000,PH051716000
197,CAMARINES SUR,LAGONOY,170.00,968.00,"1,138.00",CAMARINES SUR,LAGONOY,,,PH051700000,PH051717000
198,CAMARINES SUR,LIBMANAN,"3,340.00","12,526.00","15,866.00",CAMARINES SUR,LIBMANAN,,,PH051700000,PH051718000
199,CAMARINES SUR,LUPI,315.00,"3,567.00","3,882.00",CAMARINES SUR,LUPI,,,PH051700000,PH051719000
200,CAMARINES SUR,MAGARAO,578.00,"2,230.00","2,808.00",CAMARINES SUR,MAGARAO,,,PH051700000,PH051720000
201,CAMARINES SUR,MILAOR ,372.00,"2,860.00","3,232.00",CAMARINES SUR,MILAOR ,CAMARINES SUR,MILAOR,PH051700000,PH051721000
202,CAMARINES SUR,MINABALAC,"1,189.00","4,556.00","5,745.00",CAMARINES SUR,MINABALAC,,,,
203,CAMARINES SUR,NABUA,"1,314.00","7,009.00","8,323.00",CAMARINES SUR,NABUA,,,PH051700000,PH051723000
204,CAMARINES SUR,NAGA CITY,284.00,"1,896.00","2,180.00",CAMARINES SUR,NAGA CITY,,,PH051700000,PH051724000
205,CAMARINES SUR,OCAMPO,"1,138.00","5,152.00","6,290.00",CAMARINES SUR,OCAMPO,,,PH051700000,PH051725000
206,CAMARINES SUR,PAMPLONA,"1,191.00","4,069.00","5,260.00",CAMARINES SUR,PAMPLONA,,,PH051700000,PH051726000
207,CAMARINES SUR,PILI ,"1,511.00","5,162.00","6,673.00",CAMARINES SUR,PILI ,CAMARINES SUR,PILI (CAPITAL),PH051700000,PH051728000
208,CAMARINES SUR,PRESENTATION,241.00,"1,910.00","2,151.00",CAMARINES SUR,PRESENTATION,CAMARINES SUR,PRESENTACION (PARUBCAN),PH051700000,PH051729000
209,CAMARINES SUR,RAGAY,"1,546.00","8,259.00","9,805.00",CAMARINES SUR,RAGAY,,,PH051700000,PH051730000
210,CAMARINES SUR,SAN FERNANDO,"5,273.00","4,475.00","9,748.00",CAMARINES SUR,SAN FERNANDO,,,PH051700000,PH051732000
211,CAMARINES SUR,SAN JOSE,729.00,"4,114.00","4,843.00",CAMARINES SUR,SAN JOSE,,,PH051700000,PH051733000
212,CAMARINES SUR,SANGAY,"1,274.00","5,068.00","6,342.00",CAMARINES SUR,SANGAY,CAMIGUIN,SAGAY,PH101800000,PH101805000
213,CAMARINES SUR,SIPOCOT,"1,219.00","6,354.00","7,573.00",CAMARINES SUR,SIPOCOT,,,PH051700000,PH051734000
214,CAMARINES SUR,SIRUMA,35.00,705.00,740.00,CAMARINES SUR,SIRUMA,,,PH051700000,PH051735000
215,CAMARINES SUR,TINAMBAC,195.00,"5,378.00","5,573.00",CAMARINES SUR,TINAMBAC,,,PH051700000,PH051737000
216,CAMARINES NORTE,BASUD ,118.00,"1,639.00","1,757.00",CAMARINES NORTE,BASUD ,CAMARINES NORTE,BASUD,PH051600000,PH051601000
217,CAMARINES NORTE,CAPALONGA,824.00,"1,285.00","2,109.00",CAMARINES NORTE,CAPALONGA,,,PH051600000,PH051602000
